,prompt,A,B,C,D,answer,queries
94427,Humans grow thinner when they,lack food,eat too much.,overeat,eat food,A,"what is the best possible answer for this question: Humans grow thinner when they
 (A) eat too much.
 (B) eat too much.
 (C) overeat
 (D) eat food
"
98025,Who stalks dragonflies south?,clouds,electricity,kestrels,polar bears,C,"what is the best possible answer for this question: Who stalks dragonflies south?
 (A) electricity
 (B) electricity
 (C) kestrels
 (D) polar bears
"
94233,The family cooked most of their food using a stove and,electricity,luck,ice,magic,A,"what is the best possible answer for this question: The family cooked most of their food using a stove and
 (A) luck
 (B) luck
 (C) ice
 (D) magic
"
2002,Which of these most likely has the GREATEST mass?,Chicken,Puppy,Lizard,Horse,D,"what is the best possible answer for this question: Which of these most likely has the GREATEST mass?
 (A) Puppy
 (B) Puppy
 (C) Lizard
 (D) Horse
"
93669,"In the desert, a hawk may enjoy an occasional",coyote,reptile,bat,scorpion,B,"what is the best possible answer for this question: In the desert, a hawk may enjoy an occasional
 (A) reptile
 (B) reptile
 (C) bat
 (D) scorpion
"
94508,How many seasons occur in the span of three years,ten,twelve,eight,four,B,"what is the best possible answer for this question: How many seasons occur in the span of three years
 (A) twelve
 (B) twelve
 (C) eight
 (D) four
"
95952,A protected environment will probably be,on fire,fenced,illegal,underground,B,"what is the best possible answer for this question: A protected environment will probably be
 (A) fenced
 (B) fenced
 (C) illegal
 (D) underground
"
95577,Oceans cover 70% of the surface of what?,the moon,the sun,wet planet,cities,C,"what is the best possible answer for this question: Oceans cover 70% of the surface of what?
 (A) the sun
 (B) the sun
 (C) wet planet
 (D) cities
"
98089,Salamanders might be found under,garden statues,spaceships,business suits,love,A,"what is the best possible answer for this question: Salamanders might be found under
 (A) spaceships
 (B) spaceships
 (C) business suits
 (D) love
"
93977,A ruler is used for measuring the length of what?,distance between cities,air,stuff,motivation,C,"what is the best possible answer for this question: A ruler is used for measuring the length of what?
 (A) air
 (B) air
 (C) stuff
 (D) motivation
"
97149,Rain also occurs in other places like,My emotions,My mind,planetoids,In a bath,C,"what is the best possible answer for this question: Rain also occurs in other places like
 (A) My mind
 (B) My mind
 (C) planetoids
 (D) In a bath
"
97425,Sound pulses helps dolphins,satisfy women,find God,find nourishment,find ibexes,C,"what is the best possible answer for this question: Sound pulses helps dolphins
 (A) find God
 (B) find God
 (C) find nourishment
 (D) find ibexes
"
97142,pollution is when humans pollute the environment with,gross stuff,water,food,air,A,"what is the best possible answer for this question: pollution is when humans pollute the environment with
 (A) water
 (B) water
 (C) food
 (D) air
"
93804,What slows down the transfer of heat?,a wooden wall,the wind,the sun,light rays,A,"what is the best possible answer for this question: What slows down the transfer of heat?
 (A) the wind
 (B) the wind
 (C) the sun
 (D) light rays
"
95513,A full moon is visible,bimonthly,biweekly,every two months,every four weeks,D,"what is the best possible answer for this question: A full moon is visible
 (A) biweekly
 (B) biweekly
 (C) every two months
 (D) every four weeks
"
97134,Nocturnal predators hunt during when?,sunrise,daylight,sleepy time,summer,C,"what is the best possible answer for this question: Nocturnal predators hunt during when?
 (A) daylight
 (B) daylight
 (C) sleepy time
 (D) summer
"
97657,In December around 3pm I will avoid using,time travel,planets,magic,sungoggles,D,"what is the best possible answer for this question: In December around 3pm I will avoid using
 (A) planets
 (B) planets
 (C) magic
 (D) sungoggles
"
95448,Alloies are made of multiple metals an example is,brass,steel,aluminum,tin,A,"what is the best possible answer for this question: Alloies are made of multiple metals an example is
 (A) steel
 (B) steel
 (C) aluminum
 (D) tin
"
94352,Inside of a fruit is,tiny hard pieces,small berries,worms,little sharp flecks,A,"what is the best possible answer for this question: Inside of a fruit is
 (A) small berries
 (B) small berries
 (C) worms
 (D) little sharp flecks
"
93450,Genes are located on chromosomes which are composed of,DNA.,RNA.,ATP.,ADP.,A,"what is the best possible answer for this question: Genes are located on chromosomes which are composed of
 (A) RNA.
 (B) RNA.
 (C) ATP.
 (D) ADP.
"
98032,Visibility while driving is decreased by bad what?,local forecasts,roads,music,trees,A,"what is the best possible answer for this question: Visibility while driving is decreased by bad what?
 (A) roads
 (B) roads
 (C) music
 (D) trees
"
4389,A dog gets the energy it needs to run from ___.,the air,the Sun,food,water,C,"what is the best possible answer for this question: A dog gets the energy it needs to run from ___.
 (A) the Sun
 (B) the Sun
 (C) food
 (D) water
"
97654,More sleep leads to,worst health,restlessness,insomnia,sense of well-being,D,"what is the best possible answer for this question: More sleep leads to
 (A) restlessness
 (B) restlessness
 (C) insomnia
 (D) sense of well-being
"
98003,Which is an electrical energy conductor?,cobalt,plastic,concrete,mahogany,A,"what is the best possible answer for this question: Which is an electrical energy conductor?
 (A) plastic
 (B) plastic
 (C) concrete
 (D) mahogany
"
96888,Where might you see light reflect?,rocks,bottled liquid,sand,wood,B,"what is the best possible answer for this question: Where might you see light reflect?
 (A) bottled liquid
 (B) bottled liquid
 (C) sand
 (D) wood
"
96976,"If a frog is a baby, then it has",zero legs,four legs,two legs,zero parents,A,"what is the best possible answer for this question: If a frog is a baby, then it has
 (A) four legs
 (B) four legs
 (C) two legs
 (D) zero parents
"
96374,The cracks in a sidewalk could be caused by,black holes,Pine,time travel,emotions,B,"what is the best possible answer for this question: The cracks in a sidewalk could be caused by
 (A) Pine
 (B) Pine
 (C) time travel
 (D) emotions
"
96219,As the car approaches a hill it will become harder to,steer,park,push,brake,C,"what is the best possible answer for this question: As the car approaches a hill it will become harder to
 (A) park
 (B) park
 (C) push
 (D) brake
"
98140,The largest organ of the human body is what?,heart,brain,lungs,outer layer,D,"what is the best possible answer for this question: The largest organ of the human body is what?
 (A) brain
 (B) brain
 (C) lungs
 (D) outer layer
"
96832,Adding salt to liquid decreases what?,light,energy,magnetism,thawing temp,D,"what is the best possible answer for this question: Adding salt to liquid decreases what?
 (A) energy
 (B) energy
 (C) magnetism
 (D) thawing temp
"
96925,"In a drought, a resource that will be lacking is",soil,land,droplets,cheese,C,"what is the best possible answer for this question: In a drought, a resource that will be lacking is
 (A) land
 (B) land
 (C) droplets
 (D) cheese
"
97863,A chocolate rabbit melts away from,an icy pond,a freezer,snow,a curling iron,D,"what is the best possible answer for this question: A chocolate rabbit melts away from
 (A) a freezer
 (B) a freezer
 (C) snow
 (D) a curling iron
"
97977,objects made of what cause refraction of light?,wind,wood,melted sand,soil,C,"what is the best possible answer for this question: objects made of what cause refraction of light?
 (A) wood
 (B) wood
 (C) melted sand
 (D) soil
"
97437,A hot stove can burn,the sun,a stone monument,your elbow,diamonds,C,"what is the best possible answer for this question: A hot stove can burn
 (A) a stone monument
 (B) a stone monument
 (C) your elbow
 (D) diamonds
"
97291,Pollination is required for what to reproduce?,whales,bees,sunflowers,humans,C,"what is the best possible answer for this question: Pollination is required for what to reproduce?
 (A) bees
 (B) bees
 (C) sunflowers
 (D) humans
"
98482,A bulldozer alters the area of,skyscrapers,the stock market,air,water,A,"what is the best possible answer for this question: A bulldozer alters the area of
 (A) the stock market
 (B) the stock market
 (C) air
 (D) water
"
98437,A frog would most likely eat,a cockroach,another frog,a maple leaf,a mouse,A,"what is the best possible answer for this question: A frog would most likely eat
 (A) another frog
 (B) another frog
 (C) a maple leaf
 (D) a mouse
"
98446,Which sustains life yet stopped growing?,air,a bush,a rock,a felled tree,D,"what is the best possible answer for this question: Which sustains life yet stopped growing?
 (A) a bush
 (B) a bush
 (C) a rock
 (D) a felled tree
"
96601,Annelida aide the earth by redepositing,trees,nutrients,air,real estate,B,"what is the best possible answer for this question: Annelida aide the earth by redepositing
 (A) nutrients
 (B) nutrients
 (C) air
 (D) real estate
"
93858,After the wolf ate all the rabbits he survived on:,water,plants.,fat,luck,C,"what is the best possible answer for this question: After the wolf ate all the rabbits he survived on:
 (A) plants.
 (B) plants.
 (C) fat
 (D) luck
"
94464,Meadow voles consume,producers,apex predators,decomposers,detritivores,A,"what is the best possible answer for this question: Meadow voles consume
 (A) apex predators
 (B) apex predators
 (C) decomposers
 (D) detritivores
"
97457,deep sea animals live way down in the,volcanoes,wet abyss,sky,mount everest,B,"what is the best possible answer for this question: deep sea animals live way down in the
 (A) wet abyss
 (B) wet abyss
 (C) sky
 (D) mount everest
"
94445,An example of instinctive behavior is,southern winter flight,foreging,climbing,relocation,A,"what is the best possible answer for this question: An example of instinctive behavior is
 (A) foreging
 (B) foreging
 (C) climbing
 (D) relocation
"
97875,"In humans, bacteria can help digest what?",plastics,nutriment,copper,stones,B,"what is the best possible answer for this question: In humans, bacteria can help digest what?
 (A) nutriment
 (B) nutriment
 (C) copper
 (D) stones
"
96074,A grass snake may make its home in,a jungle,a desert,a neighborhood,a swamp,C,"what is the best possible answer for this question: A grass snake may make its home in
 (A) a desert
 (B) a desert
 (C) a neighborhood
 (D) a swamp
"
97309,As frozen water decreases more sunlight is,absorbed,frozen,detected,reflected,A,"what is the best possible answer for this question: As frozen water decreases more sunlight is
 (A) frozen
 (B) frozen
 (C) detected
 (D) reflected
"
97285,chemical reactions cause,dancing,napping,fluctuative attributes,invisibilty,C,"what is the best possible answer for this question: chemical reactions cause
 (A) napping
 (B) napping
 (C) fluctuative attributes
 (D) invisibilty
"
94203,New plants sprang up everywhere seeds were taken by,cool breezes,magic,luck,demons,A,"what is the best possible answer for this question: New plants sprang up everywhere seeds were taken by
 (A) magic
 (B) magic
 (C) luck
 (D) demons
"
96624,Animals the exemplify relationship behaviors are,air,space,metal,killdeer,D,"what is the best possible answer for this question: Animals the exemplify relationship behaviors are
 (A) space
 (B) space
 (C) metal
 (D) killdeer
"
96619,Webbed feet are used to move faster through what?,rain,winds,clouds,swamps,D,"what is the best possible answer for this question: Webbed feet are used to move faster through what?
 (A) winds
 (B) winds
 (C) clouds
 (D) swamps
"
97251,animals learn some behaviors from watching their,rocks,toys,caretakers,trees,C,"what is the best possible answer for this question: animals learn some behaviors from watching their
 (A) toys
 (B) toys
 (C) caretakers
 (D) trees
"
98238,Gravity is an example of which?,Magnetic Force,Speed,Contact Force,Non-Contact Force,D,"what is the best possible answer for this question: Gravity is an example of which?
 (A) Speed
 (B) Speed
 (C) Contact Force
 (D) Non-Contact Force
"
96427,A resource that can be endlessly retrieved is,knobs,bricks,panels,droplets,D,"what is the best possible answer for this question: A resource that can be endlessly retrieved is
 (A) bricks
 (B) bricks
 (C) panels
 (D) droplets
"
98267,What is part of an ecological system?,waterfalls,pulsars,black holes,asteroids,A,"what is the best possible answer for this question: What is part of an ecological system?
 (A) pulsars
 (B) pulsars
 (C) black holes
 (D) asteroids
"
4399,Which of these BEST describes the way a feather feels?,Colorful,Soft,Low,Bright,B,"what is the best possible answer for this question: Which of these BEST describes the way a feather feels?
 (A) Soft
 (B) Soft
 (C) Low
 (D) Bright
"
96545,Which is likely to spread seed?,a car,a sun beam,a whale,a hummingbird,D,"what is the best possible answer for this question: Which is likely to spread seed?
 (A) a sun beam
 (B) a sun beam
 (C) a whale
 (D) a hummingbird
"
94509,A desert environment can support,fish,banana trees,redwoods,insects,D,"what is the best possible answer for this question: A desert environment can support
 (A) banana trees
 (B) banana trees
 (C) redwoods
 (D) insects
"
94704,What could a person eat to avoid starvation?,Akvavit,Jeggings,Carmex,Floss,A,"what is the best possible answer for this question: What could a person eat to avoid starvation?
 (A) Jeggings
 (B) Jeggings
 (C) Carmex
 (D) Floss
"
96829,A landslide may bring immense problems to,living regions,Jupiter,space,time travel,A,"what is the best possible answer for this question: A landslide may bring immense problems to
 (A) Jupiter
 (B) Jupiter
 (C) space
 (D) time travel
"
96826,Which of these has resonating wood?,a lute,a bell,a metal flute,a saxophone,A,"what is the best possible answer for this question: Which of these has resonating wood?
 (A) a bell
 (B) a bell
 (C) a metal flute
 (D) a saxophone
"
94633,One full rotation on Earth's axis takes,12 hours,1 month,2 days,1440 minutes,D,"what is the best possible answer for this question: One full rotation on Earth's axis takes
 (A) 1 month
 (B) 1 month
 (C) 2 days
 (D) 1440 minutes
"
95868,A way to reproduce is to,plant dishes,produce ovum,make money,litter carpet,B,"what is the best possible answer for this question: A way to reproduce is to
 (A) produce ovum
 (B) produce ovum
 (C) make money
 (D) litter carpet
"
97005,Solar pumps move liquids continuously from the,space,glaciers,sky,ground,D,"what is the best possible answer for this question: Solar pumps move liquids continuously from the
 (A) glaciers
 (B) glaciers
 (C) sky
 (D) ground
"
96223,"If a puppy steps on a lit cigarette, it is likely",happy,swell,lovely,pained,D,"what is the best possible answer for this question: If a puppy steps on a lit cigarette, it is likely
 (A) swell
 (B) swell
 (C) lovely
 (D) pained
"
94559,Droughts can cause,parched grass,lush lawns,overflowing ponds,blooming flowers,A,"what is the best possible answer for this question: Droughts can cause
 (A) lush lawns
 (B) lush lawns
 (C) overflowing ponds
 (D) blooming flowers
"
93183,What carries oxygen throughout the body?,white blood cells,brain,red blood cells,nerves,C,"what is the best possible answer for this question: What carries oxygen throughout the body?
 (A) brain
 (B) brain
 (C) red blood cells
 (D) nerves
"
95241,What orbits the earth 13 times per year?,night illuminator,clouds,oceans,moon pictures,A,"what is the best possible answer for this question: What orbits the earth 13 times per year?
 (A) clouds
 (B) clouds
 (C) oceans
 (D) moon pictures
"
97829,You'd best bring water if you go to,a lake,a reservoir,a pond,the moon,D,"what is the best possible answer for this question: You'd best bring water if you go to
 (A) a reservoir
 (B) a reservoir
 (C) a pond
 (D) the moon
"
97485,A decomposer might thrive more on,Magic,Jupiter,Time Traveling,Old turkey,D,"what is the best possible answer for this question: A decomposer might thrive more on
 (A) Jupiter
 (B) Jupiter
 (C) Time Traveling
 (D) Old turkey
"
97040,Friction increases as what increases on a surface?,smooth,shiny,rutted,clean,C,"what is the best possible answer for this question: Friction increases as what increases on a surface?
 (A) shiny
 (B) shiny
 (C) rutted
 (D) clean
"
93744,Which doesn't contain water?,Sea of Tranquilitiy,Caspian Sea,Dead Sea,Caribbean Sea,A,"what is the best possible answer for this question: Which doesn't contain water?
 (A) Caspian Sea
 (B) Caspian Sea
 (C) Dead Sea
 (D) Caribbean Sea
"
96712,"If a person is avoiding sugar, they will stop eating",meat,eggs,butter,bread,D,"what is the best possible answer for this question: If a person is avoiding sugar, they will stop eating
 (A) eggs
 (B) eggs
 (C) butter
 (D) bread
"
95419,what do planets orbit?,asteroids,moons,burning hydrogen ball,they are orbitless,C,"what is the best possible answer for this question: what do planets orbit?
 (A) moons
 (B) moons
 (C) burning hydrogen ball
 (D) they are orbitless
"
94341,A magnifying glass would be useless in viewing?,tadpole,ant,sand grain,elephant,D,"what is the best possible answer for this question: A magnifying glass would be useless in viewing?
 (A) ant
 (B) ant
 (C) sand grain
 (D) elephant
"
94684,Some birds find locations with,landmarks,road signs,eggs,magnetic patterns,D,"what is the best possible answer for this question: Some birds find locations with
 (A) road signs
 (B) road signs
 (C) eggs
 (D) magnetic patterns
"
93660,Poison causes harm to which of the following?,a Tree,a robot,a house,a car,A,"what is the best possible answer for this question: Poison causes harm to which of the following?
 (A) a robot
 (B) a robot
 (C) a house
 (D) a car
"
95416,There is more carbon dioxide in,a forest,a garden,a park,a crowded airplane,D,"what is the best possible answer for this question: There is more carbon dioxide in
 (A) a garden
 (B) a garden
 (C) a park
 (D) a crowded airplane
"
95363,At night stars appear to move relative to the,moon,skyline,treetops,ocean,B,"what is the best possible answer for this question: At night stars appear to move relative to the
 (A) skyline
 (B) skyline
 (C) treetops
 (D) ocean
"
98207,The digestive system digests what for the body?,water,metal,sustenance,rocks,C,"what is the best possible answer for this question: The digestive system digests what for the body?
 (A) metal
 (B) metal
 (C) sustenance
 (D) rocks
"
94941,Light has the inability to shine through what?,solid wood,glass,atmospheres,water,A,"what is the best possible answer for this question: Light has the inability to shine through what?
 (A) glass
 (B) glass
 (C) atmospheres
 (D) water
"
97609,Which is likely to be in a zoo exhibit?,an osprey,bacteria,a human,a dinosaur,A,"what is the best possible answer for this question: Which is likely to be in a zoo exhibit?
 (A) bacteria
 (B) bacteria
 (C) a human
 (D) a dinosaur
"
95050,A renewable resource you can find on Earth is,stars,Oil,sand clay,fossil fuels,C,"what is the best possible answer for this question: A renewable resource you can find on Earth is
 (A) Oil
 (B) Oil
 (C) sand clay
 (D) fossil fuels
"
1949,The largest body in our solar system is,Earth.,the Sun.,Jupiter.,the Moon.,B,"what is the best possible answer for this question: The largest body in our solar system is
 (A) the Sun.
 (B) the Sun.
 (C) Jupiter.
 (D) the Moon.
"
94955,As the air becomes more arid it contains,oxygen,rain,less humidity,more static,C,"what is the best possible answer for this question: As the air becomes more arid it contains
 (A) rain
 (B) rain
 (C) less humidity
 (D) more static
"
97992,Something that could cause harm to an animal could be,affection,hugs,love,punches,D,"what is the best possible answer for this question: Something that could cause harm to an animal could be
 (A) hugs
 (B) hugs
 (C) love
 (D) punches
"
93728,Which of these items is required for a deer to live,sun,iron,sand,cafeteria,A,"what is the best possible answer for this question: Which of these items is required for a deer to live
 (A) iron
 (B) iron
 (C) sand
 (D) cafeteria
"
94675,"When the acid spilled on the plant, the plant began to",smoke.,sing,flower,grow,A,"what is the best possible answer for this question: When the acid spilled on the plant, the plant began to
 (A) sing
 (B) sing
 (C) flower
 (D) grow
"
97626,Falcons reside best in,volcanoes,Scottish moors,tar pits,ocean trenches,B,"what is the best possible answer for this question: Falcons reside best in
 (A) Scottish moors
 (B) Scottish moors
 (C) tar pits
 (D) ocean trenches
"
96485,"If a cow eats only plants, it will avoid eating",hay,roots,thistles,venison,D,"what is the best possible answer for this question: If a cow eats only plants, it will avoid eating
 (A) roots
 (B) roots
 (C) thistles
 (D) venison
"
95478,Heat energy has been added to,red velvet cupcakes,Greek yogurt,ceviche,Caesar salad,A,"what is the best possible answer for this question: Heat energy has been added to
 (A) Greek yogurt
 (B) Greek yogurt
 (C) ceviche
 (D) Caesar salad
"
97506,An example of conservation is avoiding the use of,clothes,gasoline,snow,air,B,"what is the best possible answer for this question: An example of conservation is avoiding the use of
 (A) gasoline
 (B) gasoline
 (C) snow
 (D) air
"
92560,A push or a pull on an object is an example of,force.,weight.,energy.,work.,A,"what is the best possible answer for this question: A push or a pull on an object is an example of
 (A) weight.
 (B) weight.
 (C) energy.
 (D) work.
"
97944,A new what occurs once every 3 months?,city,climatic term,hill,wave,B,"what is the best possible answer for this question: A new what occurs once every 3 months?
 (A) climatic term
 (B) climatic term
 (C) hill
 (D) wave
"
98393,"If water gets _____, it may cause a chemical reaction",hotter,empty,air,afraid,A,"what is the best possible answer for this question: If water gets _____, it may cause a chemical reaction
 (A) empty
 (B) empty
 (C) air
 (D) afraid
"
98285,As an airboat moves from grass to water it will,blow up,sink,speed up,slow down,C,"what is the best possible answer for this question: As an airboat moves from grass to water it will
 (A) sink
 (B) sink
 (C) speed up
 (D) slow down
"
94608,What is a thermometer used to measure?,height,weight,oxygen density,warmness,D,"what is the best possible answer for this question: What is a thermometer used to measure?
 (A) weight
 (B) weight
 (C) oxygen density
 (D) warmness
"
94825,A specific plant is found,in some areas,in outer space,nowhere,in all areas,A,"what is the best possible answer for this question: A specific plant is found
 (A) in outer space
 (B) in outer space
 (C) nowhere
 (D) in all areas
"
94940,What contains nutrients for plants?,dirt cheap,wind,ground minerals,soiled clothes,C,"what is the best possible answer for this question: What contains nutrients for plants?
 (A) wind
 (B) wind
 (C) ground minerals
 (D) soiled clothes
"
96754,Which is likeliest to metamorphose?,a live insect,a human,a plant,a dead butterfly,A,"what is the best possible answer for this question: Which is likeliest to metamorphose?
 (A) a human
 (B) a human
 (C) a plant
 (D) a dead butterfly
"
98227,Bears will always have longer life cycles than a,tortoises,whales,elephants,fox,D,"what is the best possible answer for this question: Bears will always have longer life cycles than a
 (A) whales
 (B) whales
 (C) elephants
 (D) fox
"
96683,"If a thing experiences a burning combustion, then it is",damaged,fine,great,safe,A,"what is the best possible answer for this question: If a thing experiences a burning combustion, then it is
 (A) fine
 (B) fine
 (C) great
 (D) safe
"
97349,A good place to use a thermometer is,your butt,a radio,a wall socket,a bookbag,A,"what is the best possible answer for this question: A good place to use a thermometer is
 (A) a radio
 (B) a radio
 (C) a wall socket
 (D) a bookbag
"
95689,Which ingredient may cause chemical change?,almonds,milk,citrus juice,olive oil,C,"what is the best possible answer for this question: Which ingredient may cause chemical change?
 (A) milk
 (B) milk
 (C) citrus juice
 (D) olive oil
"
94967,What will be more available in an area when rain is common?,dirt,air,h2o,fire,C,"what is the best possible answer for this question: What will be more available in an area when rain is common?
 (A) air
 (B) air
 (C) h2o
 (D) fire
"
93886,Some minerals originated from a material that was,hard,clear,light,far away,D,"what is the best possible answer for this question: Some minerals originated from a material that was
 (A) clear
 (B) clear
 (C) light
 (D) far away
"
4216,Which living organism makes its own food using sunlight?,lizard,tree,deer,hawk,B,"what is the best possible answer for this question: Which living organism makes its own food using sunlight?
 (A) tree
 (B) tree
 (C) deer
 (D) hawk
"
93362,What best describes objects orbiting in the Kuiper Belt?,metallic,rocky,hot,icy,D,"what is the best possible answer for this question: What best describes objects orbiting in the Kuiper Belt?
 (A) rocky
 (B) rocky
 (C) hot
 (D) icy
"
94437,Genes are a vehicle that can pass,hairstyle,hand size,nail polish,vocabulary,B,"what is the best possible answer for this question: Genes are a vehicle that can pass
 (A) hand size
 (B) hand size
 (C) nail polish
 (D) vocabulary
"
97662,What requires warmth for survival?,the moon,an ocean,a bloodhound,a computer,C,"what is the best possible answer for this question: What requires warmth for survival?
 (A) an ocean
 (B) an ocean
 (C) a bloodhound
 (D) a computer
"
95293,"Large eared, small mammal preferred by bald eagles as prey",hare,dog,hawk,bear,A,"what is the best possible answer for this question: Large eared, small mammal preferred by bald eagles as prey
 (A) dog
 (B) dog
 (C) hawk
 (D) bear
"
4324,What form of energy causes an ice cube to melt?,mechanical,magnetic,sound,heat,D,"what is the best possible answer for this question: What form of energy causes an ice cube to melt?
 (A) magnetic
 (B) magnetic
 (C) sound
 (D) heat
"
96146,A kitten curled up against a cool marble slab will,heat,chill,freeze,starve,B,"what is the best possible answer for this question: A kitten curled up against a cool marble slab will
 (A) chill
 (B) chill
 (C) freeze
 (D) starve
"
94001,A person's shadow is smallest at what time?,4:00 pm,8:00 am,12:30 pm,6:30 pm,C,"what is the best possible answer for this question: A person's shadow is smallest at what time?
 (A) 8:00 am
 (B) 8:00 am
 (C) 12:30 pm
 (D) 6:30 pm
"
94973,"On a morning when the weather is clear, the sky is",bright,cloudy,stormy,dark,A,"what is the best possible answer for this question: On a morning when the weather is clear, the sky is
 (A) cloudy
 (B) cloudy
 (C) stormy
 (D) dark
"
96566,When my parents reproduce they pass on genes like,Cats,Dating,Candy,A mole,D,"what is the best possible answer for this question: When my parents reproduce they pass on genes like
 (A) Dating
 (B) Dating
 (C) Candy
 (D) A mole
"
94328,"In the desert, the cactus is a rare source of",food,shelter,moisture,shade,C,"what is the best possible answer for this question: In the desert, the cactus is a rare source of
 (A) shelter
 (B) shelter
 (C) moisture
 (D) shade
"
97698,Holding a hot dog over a campfire makes it,carbon dioxide,vegan,a marshmallow,stiffer,D,"what is the best possible answer for this question: Holding a hot dog over a campfire makes it
 (A) vegan
 (B) vegan
 (C) a marshmallow
 (D) stiffer
"
93958,Disposition is the process of forming what?,Crystals,Rocks,Salactites,Gemstones,C,"what is the best possible answer for this question: Disposition is the process of forming what?
 (A) Rocks
 (B) Rocks
 (C) Salactites
 (D) Gemstones
"
97153,Force causes the speed of an object to do what?,lessen,uptick,decrease,lower,B,"what is the best possible answer for this question: Force causes the speed of an object to do what?
 (A) uptick
 (B) uptick
 (C) decrease
 (D) lower
"
94364,organic life requires certain things to grow such as,nutritional values,zinc,acid,darkness,A,"what is the best possible answer for this question: organic life requires certain things to grow such as
 (A) zinc
 (B) zinc
 (C) acid
 (D) darkness
"
97600,"If a thing is tossed and goes uncaught, then it will",reproduce,fall,dissolve,burn,B,"what is the best possible answer for this question: If a thing is tossed and goes uncaught, then it will
 (A) fall
 (B) fall
 (C) dissolve
 (D) burn
"
98109,red hornets can sting you multiple times with their,poison sack,knife,spears,rears,D,"what is the best possible answer for this question: red hornets can sting you multiple times with their
 (A) knife
 (B) knife
 (C) spears
 (D) rears
"
93787,Why do  berries exist?,reproducing,food for animals,growth,food storage,A,"what is the best possible answer for this question: Why do  berries exist?
 (A) food for animals
 (B) food for animals
 (C) growth
 (D) food storage
"
95401,Seasons cause change to what?,volcanic eruptions,moon cycles,prairies,planets orbit,C,"what is the best possible answer for this question: Seasons cause change to what?
 (A) moon cycles
 (B) moon cycles
 (C) prairies
 (D) planets orbit
"
93772,strumming a string can cause what type of wave?,Tidal,Pressure,Light,Dark,B,"what is the best possible answer for this question: strumming a string can cause what type of wave?
 (A) Pressure
 (B) Pressure
 (C) Light
 (D) Dark
"
93510,"Which resource, abundant in Nevada, is nonrenewable?",copper,wind,sunlight,wood,A,"what is the best possible answer for this question: Which resource, abundant in Nevada, is nonrenewable?
 (A) wind
 (B) wind
 (C) sunlight
 (D) wood
"
96953,After life all things,decompose,freeze in time,become lively,regenerate,A,"what is the best possible answer for this question: After life all things
 (A) freeze in time
 (B) freeze in time
 (C) become lively
 (D) regenerate
"
96954,Pollution is caused by using what?,chevy rides,car pictures,sunlight,plants,A,"what is the best possible answer for this question: Pollution is caused by using what?
 (A) car pictures
 (B) car pictures
 (C) sunlight
 (D) plants
"
96231,When the Platypus emerges into the pouch it has been,ran,died,birthed,flown,C,"what is the best possible answer for this question: When the Platypus emerges into the pouch it has been
 (A) died
 (B) died
 (C) birthed
 (D) flown
"
98061,Which likely would taste most similarly to sugar?,tobacco,meat,a tangerine,rice,C,"what is the best possible answer for this question: Which likely would taste most similarly to sugar?
 (A) meat
 (B) meat
 (C) a tangerine
 (D) rice
"
96246,Which of these items contains a fat soluble vitamin?,dog,yogurt,cat,water,B,"what is the best possible answer for this question: Which of these items contains a fat soluble vitamin?
 (A) yogurt
 (B) yogurt
 (C) cat
 (D) water
"
96233,"When the moon, sun, and earth line up, tides are at their",Happy,Max,Min,Middle,B,"what is the best possible answer for this question: When the moon, sun, and earth line up, tides are at their
 (A) Max
 (B) Max
 (C) Min
 (D) Middle
"
97915,A person stranded in the tundra is likely to,overheat,feel warm,fly.,perish,D,"what is the best possible answer for this question: A person stranded in the tundra is likely to
 (A) feel warm
 (B) feel warm
 (C) fly.
 (D) perish
"
95189,positively impact your bodies strength by,dead-lifting,thinking,sleeping,singing,A,"what is the best possible answer for this question: positively impact your bodies strength by
 (A) thinking
 (B) thinking
 (C) sleeping
 (D) singing
"
98471,Solar energy might be used for,the air,making pasta,feelings,time travel,B,"what is the best possible answer for this question: Solar energy might be used for
 (A) making pasta
 (B) making pasta
 (C) feelings
 (D) time travel
"
97048,Portable energy is useful for,soda bottles,drool,cascading style sheets,cattle prods,D,"what is the best possible answer for this question: Portable energy is useful for
 (A) drool
 (B) drool
 (C) cascading style sheets
 (D) cattle prods
"
95596,the mass of a planet causes,sunrise,earthquakes,sunset,matter to approach,D,"what is the best possible answer for this question: the mass of a planet causes
 (A) earthquakes
 (B) earthquakes
 (C) sunset
 (D) matter to approach
"
97766,A telescope uses what to redirect light,money,shiny glass,lasers,people,B,"what is the best possible answer for this question: A telescope uses what to redirect light
 (A) shiny glass
 (B) shiny glass
 (C) lasers
 (D) people
"
97003,By picking up polypropylene we can make our ecosystem,ugly,worse,dead,better,D,"what is the best possible answer for this question: By picking up polypropylene we can make our ecosystem
 (A) worse
 (B) worse
 (C) dead
 (D) better
"
4363,Which sense is used to determine an object's texture?,hearing,smell,taste,touch,D,"what is the best possible answer for this question: Which sense is used to determine an object's texture?
 (A) smell
 (B) smell
 (C) taste
 (D) touch
"
96801,A quartz crystal is a transparent,magic producer,power source,deodorant,hexagon,D,"what is the best possible answer for this question: A quartz crystal is a transparent
 (A) power source
 (B) power source
 (C) deodorant
 (D) hexagon
"
